Athlete,Medals
"PHELPS, Michael",8
"LOCHTE, Ryan",4
"BERNARD, Alain",3
"SULLIVAN, Eamon",3
"LAUTERSTEIN, Andrew",3
"GREVERS, Matt",3
"LEZAK, Jason",3
"CSEH, Laszlo",3
"KITAJIMA, Kosuke",3
"PEIRSOL, Aaron",3
"RICKARD, Brenton",2
"LEVEAUX, Amaury",2
"HACKETT, Grant",2
"STOECKEL, Hayden",2
"TARGETT, Matt",2
"DUBOSCQ, Hugues",2
"VANDERKAAY, Peter",2
"PARK, Taehwan",2
"CIELO FILHO, Cesar",2
"VYATCHANIN, Arkady",2
"BRODIE, Leith",2
"WEBER-GALE, Garrett",2
"MURPHY, Patrick",2
"OEN, Alexander Dale",1
"PALMER, Kirk",1
"ADRIAN, Nathan",1
"PINE, Adam",1
"POLISHCHUK, Mikhail",1
"SATO, Hisayoshi",1
"SPRENGER, Christian",1
"MIYASHITA, Junichi",1
"SUKHORUKOV, Alexander",1
"VAN DER WEIJDEN, Maarten",1
"VENDT, Erik",1
"WALTERS, David",1
"WILDMAN-TOBRINER, Ben",1
"STEIMETZ, Boris",1
"LOBINTSEV, Nikita",1
"MELLOULI, Oussama",1
"MATSUDA, Takeshi",1
"BOUSQUET, Frederick",1
"BRITS, Grant",1
"CALLUS, Ashley",1
"CAVIC, Milorad",1
"COCHRANE, Ryan",1
"CROCKER, Ian",1
"DAVIES, David",1
"DELANEY, Ashley",1
"FFROST, Nick",1
"FUJII, Takuro",1
"GANGLOFF, Mark",1
"GILOT, Fabien",1
"HANSEN, Brendan",1
"IZOTOV, Danila",1
"JENSEN, Larsen",1
"JONES, Cullen",1
"KELLER, Klete",1
"LAGUNOV, Evgeniy",1
"BERENS, Ricky",1
"LURZ, Thomas",1
"MALLET, Gregory",1
"ZHANG, Lin",1
